ds,yhat
2018-10-01,9196.75613339044
2018-10-02,9214.158348484574
2018-10-03,9239.647322332197
2018-10-04,9272.85537312048
2018-10-05,9313.188366832102
2018-10-06,9359.840070101922
2018-10-07,9411.812523955628
2018-10-08,9467.941895824926
2018-10-09,9526.929112134478
2018-10-10,9587.374437923663
2018-10-11,9647.815057257178
2018-10-12,9706.764621806142
2018-10-13,9762.753677389645
2018-10-14,9814.369851135583
2018-10-15,9860.296686003538
2018-10-16,9899.350044656001
2018-10-17,9930.51107007345
2018-10-18,9952.95478407071
2018-10-19,9966.073524368043
2018-10-20,9969.494562741615
2018-10-21,9963.091407066471
2018-10-22,9946.988464247826
2018-10-23,9921.558924262492
2018-10-24,9887.415912632823
2018-10-25,9845.397144417862
2018-10-26,9796.543492009949
2018-10-27,9742.072046681902
2018-10-28,9683.344405242602
2018-10-29,9621.83104414034
2018-10-30,9559.072750240775
2018-10-31,9496.640157388734
2018-11-01,9436.0924885206
2018-11-02,9378.936623205946
2018-11-03,9326.587599540222
2018-11-04,9280.331617684533
2018-11-05,9241.292541289866
2018-11-06,9210.402794607955
2018-11-07,9188.379430131425
2018-11-08,9175.705997601595
2018-11-09,9172.620684294014
2018-11-10,9179.111023166022
2018-11-11,9194.915284628643
2018-11-12,9219.530484453793
2018-11-13,9252.22675977489
2018-11-14,9292.067692307835
2018-11-15,9337.935997607077
2018-11-16,9388.56385577466
2018-11-17,9442.567036497987
2018-11-18,9498.481872892013
2018-11-19,9554.804066997118
2018-11-20,9610.028266767835
2018-11-21,9662.687341010205
2018-11-22,9711.39029518921
2018-11-23,9754.857816646865
2018-11-24,9791.954511113268
2018-11-25,9821.716991167346
2018-11-26,9843.377098595924
2018-11-27,9856.379682813447
2018-11-28,9860.394512577508
2018-11-29,9855.3220636886
2018-11-30,9841.293096460422
2018-12-01,9818.662108635748
2018-12-02,9787.994917251996
2018-12-03,9750.050782038292
2018-12-04,9705.75962884622
2018-12-05,9656.195060375134
2018-12-06,9602.543949580062
2018-12-07,9546.073495778199
2018-12-08,9488.096682431611
2018-12-09,9429.937107477137
2018-12-10,9372.894161239574
2018-12-11,9318.209503613674
2018-12-12,9267.035742244869
2018-12-13,9220.408138621453
2018-12-14,9179.220071701298
2018-12-15,9144.202871969846
2018-12-16,9115.91050622289
2018-12-17,9094.709448874948
2018-12-18,9080.773923483786
2018-12-19,9074.086542946985
2018-12-20,9074.444222940936
2018-12-21,9081.469095097415
2018-12-22,9094.624008330717
2018-12-23,9113.232082537714
2018-12-24,9136.499672014588
2018-12-25,9163.542009264178
2018-12-26,9193.410735686693
2018-12-27,9225.122485527823
2018-12-28,9257.687674294386
2018-12-29,9290.13865274346
2018-12-30,9321.55642191994
2018-12-31,9351.095162214278
2019-01-01,9378.003908064666
2019-01-02,9401.644797131274
2019-01-03,9421.50743540774
2019-01-04,9437.219044273086
2019-01-05,9448.55018806671
2019-01-06,9455.416017325915
2019-01-07,9457.873099247545
2019-01-08,9456.112039116679
2019-01-09,9450.4462204818
2019-01-10,9441.297104116667
2019-01-11,9429.17662303677
2019-01-12,9414.667290291201
2019-01-13,9398.400695717073
2019-01-14,9381.035105755302
2019-01-15,9363.23289587115
2019-01-16,9345.638537883327
2019-01-17,9328.857835044948
2019-01-18,9313.439047169726
2019-01-19,9299.856478245672
2019-01-20,9288.497012130501
2019-01-21,9279.649980951746
2019-01-22,9273.500638956766
2019-01-23,9270.127395339683
2019-01-24,9269.502836759855
2019-01-25,9271.49844769005
2019-01-26,9275.892818188047
2019-01-27,9282.383017829576
2019-01-28,9290.598714744838
2019-01-29,9300.11853301282
2019-01-30,9310.488072643253
2019-01-31,9321.238966080786
2019-02-01,9331.908315046423
2019-02-02,9342.057842429953
2019-02-03,9351.292106047085
2019-02-04,9359.275153882989
2019-02-05,9365.74505289015
2019-02-06,9370.525793736893
2019-02-07,9373.53615989994
2019-02-08,9374.79524840234
2019-02-09,9374.424438215701
2019-02-10,9372.645717448358
2019-02-11,9369.776398341344
2019-02-12,9366.220366100226
2019-02-13,9362.456120077479
2019-02-14,9359.021970276353
2019-02-15,9356.498845340926
2019-02-16,9355.491247231457
2019-02-17,9356.606950211262
2019-02-18,9360.436085641395
2019-02-19,9367.53027804233
2019-02-20,9378.382501159573
2019-02-21,9393.408305255572
2019-02-22,9412.929029055202
2019-02-23,9437.157552827197
2019-02-24,9466.187074715763
2019-02-25,9499.983302895012
2019-02-26,9538.380354125271
2019-02-27,9581.08053793618
2019-02-28,9627.658088335706
2019-03-01,9677.566785210387
2019-03-02,9730.151289086634
2019-03-03,9784.661899261326
2019-03-04,9840.272339957857
2019-03-05,9896.100085318894
2019-03-06,9951.228654581779
2019-03-07,10004.731246120657
2019-03-08,10055.695035109762
2019-03-09,10103.24543572354
2019-03-10,10146.5696257784
2019-03-11,10184.938649689733
2019-03-12,10217.727454023356
2019-03-13,10244.432267669015
2019-03-14,10264.684814019452
2019-03-15,10278.26293328655
2019-03-16,10285.097296502225
2019-03-17,10285.274005771318
2019-03-18,10279.03299458029
2019-03-19,10266.762263866984
2019-03-20,10248.988110482684
2019-03-21,10226.361621019825
2019-03-22,10199.641812264308
2019-03-23,10169.675896541805
2019-03-24,10137.377233060204
2019-03-25,10103.70159257045
2019-03-26,10069.622410285772
2019-03-27,10036.105729641216
2019-03-28,10004.085546330669
2019-03-29,9974.44024794577
2019-03-30,9947.970809934539
2019-03-31,9925.381354544086
2019-04-01,9907.262607584387
2019-04-02,9894.078700414355
2019-04-03,9886.157664173812
2019-04-04,9883.685852985585
2019-04-05,9886.706415972272
2019-04-06,9895.121817981779
2019-04-07,9908.700289511995
2019-04-08,9927.085971045357
2019-04-09,9949.812409307933
2019-04-10,9976.318966067514
2019-04-11,10005.969616874494
2019-04-12,10038.073550093632
2019-04-13,10071.906927638822
2019-04-14,10106.735139448334
2019-04-15,10141.834874727192
2019-04-16,10176.515344565505
2019-04-17,10210.138022279416
2019-04-18,10242.134318701303
2019-04-19,10272.020678041206
2019-04-20,10299.410663728462
2019-04-21,10324.023700197558
2019-04-22,10345.690242925455
2019-04-23,10364.353261867018
2019-04-24,10380.066039290396
2019-04-25,10392.986398317315
2019-04-26,10403.367589675756
2019-04-27,10411.54616785582
2019-04-28,10417.92728083595
2019-04-29,10422.96787696712
2019-04-30,10427.158396020246
2019-05-01,10431.003556886733
2019-05-02,10435.002880563576
2019-05-03,10439.631593077902
2019-05-04,10445.322538711349
2019-05-05,10452.449699744242
2019-05-06,10461.313865993458
2019-05-07,10472.130927327678
2019-05-08,10485.023177274128
2019-05-09,10500.013918420598
2019-05-10,10517.025553598995
2019-05-11,10535.881234121305
2019-05-12,10556.310021144116
2019-05-13,10577.955402151649
2019-05-14,10600.386895145424
2019-05-15,10623.114371841777
2019-05-16,10645.60464120351
2019-05-17,10667.299758816092
2019-05-18,10687.636468402347
2019-05-19,10706.0661410524
2019-05-20,10722.074556911812
2019-05-21,10735.20087383766
2019-05-22,10745.055148050478
2019-05-23,10751.333812516517
2019-05-24,10753.832578570396
2019-05-25,10752.45630337018
2019-05-26,10747.225457879073
2019-05-27,10738.278934432861
2019-05-28,10725.873046416793
2019-05-29,10710.376691685213
2019-05-30,10692.262772466289
2019-05-31,10672.096083858538
2019-06-01,10650.517996951143
2019-06-02,10628.228367515545
2019-06-03,10605.96519381277
2019-06-04,10584.482624387703
2019-06-05,10564.527976256346
2019-06-06,10546.818463667409
2019-06-07,10532.018356216837
2019-06-08,10520.717281781173
2019-06-09,10513.410364380637
2019-06-10,10510.480840287162
2019-06-11,10512.185728666731
2019-06-12,10518.645047639355
2019-06-13,10529.834965290875
2019-06-14,10545.585160785895
2019-06-15,10565.580546672436
2019-06-16,10589.367373384928
2019-06-17,10616.363604727918
2019-06-18,10645.873322725885
2019-06-19,10677.104795605093
2019-06-20,10709.191727641053
2019-06-21,10741.217107711254
2019-06-22,10772.238987823785
2019-06-23,10801.317456376575
2019-06-24,10827.542025609882
2019-06-25,10850.058630213578
2019-06-26,10868.095435227064
2019-06-27,10880.986676415865
2019-06-28,10888.193804714778
2019-06-29,10889.323276863095
2019-06-30,10884.14042515177
2019-07-01,10872.578947732965
2019-07-02,10854.745684182213
2019-07-03,10830.920475411689
2019-07-04,10801.551048767415
2019-07-05,10767.24301405888
2019-07-06,10728.745200136687
2019-07-07,10686.930700193614
2019-07-08,10642.774123094745
2019-07-09,10597.325663858019
2019-07-10,10551.682705395322
2019-07-11,10506.95974272559
2019-07-12,10464.25747761021
2019-07-13,10424.63196407295
2019-07-14,10389.064692407468
2019-07-15,10358.43448063039
2019-07-16,10333.491998231619
2019-07-17,10314.837678610611
2019-07-18,10302.903685547384
2019-07-19,10297.940487953132
2019-07-20,10300.00846902562
2019-07-21,10308.974854430764
2019-07-22,10324.516093246837
2019-07-23,10346.125669463272
2019-07-24,10373.127165323764
2019-07-25,10404.692245279766
2019-07-26,10439.863085232684
2019-07-27,10477.578640337582
2019-07-28,10516.704029803628
2019-07-29,10556.062222309814
2019-07-30,10594.467133733442
2019-07-31,10630.757202090284
2019-08-01,10663.828484442263
2019-08-02,10692.666327773186
2019-08-03,10716.374700444798
2019-08-04,10734.202331980763
2019-08-05,10745.564894988374
2019-08-06,10750.062571670893
2019-08-07,10747.492475614581
2019-08-08,10737.855543757096
2019-08-09,10721.357669590614
2019-08-10,10698.405012293217
2019-08-11,10669.593582926189
2019-08-12,10635.69337331447
2019-08-13,10597.627450982516
2019-08-14,10556.446589969475
2019-08-15,10513.30013822234
2019-08-16,10469.403933715692
2019-08-17,10426.006170152314
2019-08-18,10384.352176418271
2019-08-19,10345.64910992109
2019-08-20,10311.031571396203
2019-08-21,10281.529127337657
2019-08-22,10258.03667640993
2019-08-23,10241.288519295684
2019-08-24,10231.83688953181
2019-08-25,10230.035578795552
2019-08-26,10236.029147273712
2019-08-27,10249.748052220735
2019-08-28,10270.909860017253
2019-08-29,10299.026533775323
2019-08-30,10333.417614724798
2019-08-31,10373.228946255185
2019-09-01,10417.45642944514
2019-09-02,10464.974152817746
2019-09-03,10514.56611114777
2019-09-04,10564.960622173678
