ID,Date,Country,VehID,Destination,KmInit,KmFinal,FuelBought,AmountFuel,CashFuel,AmountCash,FuelKm,DriverID
4,7/27/2011,2,8,CEV,124535,124542,0,0,0,0,0,3
5,7/28/2011,2,8,CEV,124542,124765,0,0,0,0,0,1
6,8/23/2011,2,8,CEV,124765,124777,41.84999847,129310,0,0,124773,1
7,8/27/2011,2,8,CEV,124777,124931,0,0,0,0,0,1
8,9/15/2011,2,8,CEV,124931,124943,0,0,0,0,0,1
9,10/30/2011,2,8,CEV,125062,125132,0,0,0,0,0,1
11,10/30/2011,2,8,CEV,125132,125152,0,0,0,0,0,1
12,10/30/2011,2,8,CEV,125152,125163,0,0,0,0,0,1
13,10/30/2011,2,8,CEV,125163,125171,0,0,0,0,0,1
15,10/25/2011,2,8,cev,124943,125062,0,0,0,0,0,1
17,10/30/2011,2,8,cev,125171,125192,0,0,0,0,0,1
18,10/30/2011,2,8,cev,125192,125200,39.52000046,122117,0,0,125193,1
19,10/30/2011,2,8,cev,125200,125211,0,0,0,0,0,1
20,10/30/2011,2,8,cev,125211,125356,0,0,0,0,0,1
21,10/30/2011,2,8,cev,125356,125524,0,0,0,0,0,1
22,10/30/2011,2,8,cev,125524,125534,0,0,0,0,0,1
23,10/30/2011,2,8,cev,125534,125543,0,0,0,0,0,1
24,10/30/2011,2,8,cev,125543,125550,0,0,0,0,0,1
25,10/30/2011,2,8,CEV,125550,125571,0,0,0,0,0,1
27,9/25/2011,2,9,CEV,111363,111435,0,0,0,0,0,1
28,10/29/2011,2,9,PERSO,111598,111628,0,0,0,0,0,1
29,11/2/2011,2,9,CEV,111628,111631,0,0,0,0,0,1
30,11/6/2011,2,9,PERSO,111631,111669,0,0,0,0,0,1
31,11/7/2011,2,9,CEV,111669,111670,0,0,0,0,0,1
32,11/7/2011,2,9,CEV,111670,111681,0,0,0,0,0,1
33,11/8/2011,2,9,CEV,111681,111693,0,0,0,0,0,1
34,11/11/2011,2,9,CEV,111693,111699,0,0,0,0,0,1
35,11/12/2011,2,9,PERSO,111699,111729,0,0,0,0,0,1
36,11/13/2011,2,9,CEV,111729,111778,0,0,0,0,0,1
37,11/19/2011,2,9,CEV,111778,111847,0,0,4.849999905,15000,111826,1
38,11/21/2011,2,9,CEV,111847,111862,0,0,0,0,0,1
39,11/22/2011,2,9,CEV,111862,111864,0,0,0,0,0,1
40,10/25/2011,2,10,IVATO,159978,160025,0,0,0,0,0,1
41,10/26/2011,2,10,CEV,160025,160048,0,0,0,0,0,1
42,10/27/2011,2,10,ANTSIRABE,160048,160653,112.7900009,291000,0,0,160052,1
43,11/4/2011,2,10,ABE VILLE,160653,160896,116.3099976,300072,0,0,160872,1
44,11/5/2011,2,10,RETOUR,160896,161088,0,0,0,0,0,1
45,11/6/2011,2,10,IVATO,161088,161129,0,0,0,0,0,1
46,11/7/2011,2,10,AMBOSITRA,161129,161759,34.18000031,87966,0,0,161130,1
47,11/9/2011,2,10,IVATO,161759,161858,0,0,0,0,0,1
48,11/9/2011,2,10,SCHOOL,161858,161882,0,0,0,0,0,1
49,11/10/2011,2,10,CEV,161882,161999,32.36000061,100000,0,0,161980,1
50,11/11/2011,2,10,CEV,161999,162086,0,0,0,0,0,1
51,11/12/2011,2,10,IVATO,162086,162145,16.18000031,50000,0,0,162141,1
52,11/13/2011,2,10,MAHANORO,162145,163184,159,410000,0,0,162783,1
53,11/18/2011,2,10,CEV,163184,163198,0,0,0,0,0,1
54,11/21/2011,2,10,CEV,163198,163211,0,0,0,0,0,1
55,11/21/2011,2,10,CEV,163211,163241,0,0,0,0,0,1
56,11/28/2011,2,10,CEV,163241,163281,0,0,0,0,0,1
57,11/29/2011,2,10,CEV,163281,163301,38.70999908,100000,0,0,163281,1
58,10/25/2011,2,7,CEV,186059,186084,0,0,0,0,0,1
60,10/25/2011,2,7,CEV,186093,186112,0,0,0,0,0,1
61,10/25/2011,2,7,TVE,186112,186209,77.5,200000,0,0,186209,1
63,11/4/2011,2,7,TVE,186209,186878,0,0,0,0,0,1
64,11/7/2011,2,7,CEV,186878,186883,51.52000046,132922,0,0,186883,1
65,11/7/2011,2,7,FEE,186883,187219,8.850000381,23000,0,0,186980,1
66,11/9/2011,2,7,RETOUR TVE,187219,187325,52,134160,0,0,187316,1
67,11/10/2011,2,7,CEV VDRY,187325,187933,38.24000168,117400,0,0,187677,1
68,11/14/2011,2,7,CE,187933,187948,0,0,0,0,0,1
69,11/15/2011,2,7,CEV,187948,188000,0,0,0,0,0,1
70,11/19/2011,2,7,CEV,188000,188253,53.09999847,137000,0,0,188091,1
71,11/24/2011,2,7,RETOUR,188253,188598,11.63000011,30000,0,0,188563,1
72,10/25/2011,2,11,CEV,6971,6990,0,0,0,0,0,1
73,10/26/2011,2,11,CEV,6990,6996,0,0,0,0,0,1
74,10/30/2011,2,11,CEV,7093,7135,0,0,0,0,0,1
75,10/27/2011,2,11,CEV,6996,7016,0,0,0,0,0,1
76,10/27/2011,2,11,IHOSY,7016,7057,0,0,0,0,0,1
77,10/28/2011,2,11,CEV,7057,7075,0,0,0,0,0,1
78,10/28/2011,2,11,CEV,7075,7085,0,0,0,0,0,1
79,10/28/2011,2,11,IVATO IHOSY,7085,7093,0,0,0,0,0,1
80,10/31/2011,2,11,N/A,7135,7328,0,0,0,0,0,1
81,11/5/2011,2,11,IHOSY,7328,7837,49.56000137,127865,0,0,7391,1
82,11/7/2011,2,11,IHOSY,7837,8560,70.87999725,180000,0,0,7972,1
83,11/7/2011,2,11,RETOUR IHOSY,8560,8624,66.27999878,171000,0,0,8564,1
84,11/8/2011,2,11,CEV,8624,8633,0,0,0,0,0,1
85,11/11/2011,2,11,N/A,8633,8688,0,0,0,0,0,1
86,11/11/2011,2,11,PERSO,8688,8725,0,0,0,0,0,1
87,11/12/2011,2,11,N/A,8725,8739,0,0,0,0,0,1
88,11/12/2011,2,11,PERERSO,8739,8839,0,0,0,0,0,1
89,11/15/2011,2,11,N/A,8839,8879,0,0,0,0,0,1
90,11/15/2011,2,11,CEV,8879,8903,0,0,0,0,0,1
91,11/16/2011,2,11,CEV,8903,8965,0,0,0,0,0,1
92,11/18/2011,2,11,PERSO,8965,9020,0,0,0,0,0,1
93,11/21/2011,2,11,CEV,9020,9143,0,0,0,0,0,1
94,11/25/2011,2,11,PERSO,9143,9170,11.63000011,30000,0,0,9143,1
95,11/27/2011,2,11,CEV,9170,9213,0,0,0,0,0,1
96,11/28/2011,2,11,CEV,9213,9215,38.75999832,100000,0,0,9214,1
97,10/25/2011,2,6,AMBOSITRA MJR,215471,216059,67.16000366,173273,0,0,215490,1
98,10/25/2011,2,6,MJR TANA,216059,216709,58.25999832,150000,0,0,216069,1
99,11/1/2011,2,6,CEV,216709,216784,102.2099991,263700,0,0,216729,1
100,11/2/2011,2,6,CEV,216784,216797,0,0,0,0,0,1
101,11/2/2011,2,6,CEV,216797,216823,0,0,0,0,0,1
102,11/2/2011,2,6,N/A,216823,216836,0,0,0,0,0,1
103,11/3/2011,2,6,10,216836,216847,0,0,0,0,0,1
104,11/3/2011,2,6,CE,216847,216856,0,0,0,0,0,1
105,11/3/2011,2,6,N/A,216856,216875,0,0,0,0,0,1
106,11/3/2011,2,6,N/A,216875,216907,0,0,0,0,0,1
107,11/3/2011,2,6,N/A,216907,216916,0,0,0,0,0,1
108,11/4/2011,2,6,ANTSIRA,216916,217272,0,0,0,0,0,1
109,11/7/2011,2,6,AMBOVOMBE,217272,217890,71.81999969,185296,0,0,217272,1
110,11/8/2011,2,6,N/A,217890,218389,118.1399994,307902,0,0,218087,1
111,11/16/2011,2,6,ANKAZOABO,218389,219862,228.9299927,595200,0,0,219665,1
112,11/17/2011,2,6,RETOUR,219862,220480,32.40999985,83624,0,0,220059,1
113,11/18/2011,2,6,CEV,220480,220503,0,0,0,0,0,1
114,11/18/2011,2,6,N/A,220503,220550,0,0,0,0,0,1
115,11/21/2011,2,6,N/A,220550,220572,38.75999832,100000,0,0,220572,1
116,11/21/2011,2,6,CEV,220572,220587,0,0,0,0,0,1
117,11/28/2011,2,6,N/A,220587,220594,0,0,0,0,0,1
118,11/28/2011,2,6,N/A,220594,220643,0,0,0,0,0,1
119,11/28/2011,2,6,N/A,220643,220683,0,0,0,0,0,1
120,11/30/2011,2,6,N/A,220683,220711,38.75999832,100000,0,0,220710,1
121,11/7/2011,2,8,CEV15,125571,125580,0,0,0,0,0,1
122,11/7/2011,2,8,CEV,125580,125659,0,0,3.25999999,10000,125623,1
123,11/10/2011,2,8,N/A,125659,125667,32.36000061,100000,0,0,125667,1
124,11/10/2011,2,8,N/A,125667,125675,0,0,0,0,0,1
125,11/10/2011,2,8,CEV,125675,125682,0,0,0,0,0,1
126,11/11/2011,2,8,N/A,125682,125712,0,0,0,0,0,1
127,11/11/2011,2,8,N/A,125712,125716,0,0,0,0,0,1
128,11/15/2011,2,8,N/A,125716,125761,0,0,0,0,0,1
129,11/15/2011,2,8,PERSO,125761,125762,0,0,0,0,0,1
130,11/18/2011,2,8,N/A,125762,125804,0,0,0,0,0,1
131,11/21/2011,2,8,N/A,125804,125809,0,0,0,0,0,1
132,11/21/2011,2,8,N/A,125809,125821,0,0,0,0,0,1
133,11/28/2011,2,8,N/A,125821,125864,0,0,0,0,0,1
134,11/29/2011,2,8,CEV,125864,125870,0,0,0,0,0,1
135,10/25/2011,2,12,CEV,15827,15843,0,0,0,0,0,1
136,10/25/2011,2,12,N/A,15843,15852,0,0,0,0,0,1
137,10/25/2011,2,12,N/A,15852,15897,0,0,0,0,0,1
138,10/25/2011,2,12,N/A,15897,15900,0,0,0,0,0,1
139,10/25/2011,2,12,N/A,15900,15933,0,0,0,0,0,1
140,10/25/2011,2,12,N/A,15933,15952,0,0,0,0,0,1
141,10/25/2011,2,12,N/A,15952,15957,0,0,0,0,0,1
142,10/26/2011,2,12,PERSO,15957,15976,0,0,0,0,0,1
143,10/26/2011,2,12,N/A,15976,16012,0,0,0,0,0,1
144,10/26/2011,2,12,N/A,16012,16128,0,0,0,0,0,1
145,10/26/2011,2,12,N/A,16128,16254,0,0,0,0,0,1
146,10/26/2011,2,12,N/A,16254,16269,0,0,0,0,0,1
147,10/26/2011,2,12,15,16269,16290,52.84999847,134287,0,0,16276,1
148,10/26/2011,2,12,N/A,16290,16307,0,0,0,0,0,1
149,10/26/2011,2,12,MGA,16307,16688,0,0,0,0,0,1
150,10/26/2011,2,12,TVE,17940,17978,0,0,0,0,0,1
151,10/26/2011,2,12,TVE,17929,17940,0,0,0,0,0,1
152,10/26/2011,2,12,CEV,16688,17466,46.00999832,120000,0,0,16719,1
153,10/26/2011,2,12,CEV,17466,17929,75.58000183,195000,0,0,17471,1
154,10/26/2011,2,12,N/A,17978,17992,0,0,0,0,0,1
155,10/26/2011,2,12,N/A,17992,18068,0,0,0,0,0,1
156,10/26/2011,2,12,N/A,18068,18085,0,0,0,0,0,1
157,10/26/2011,2,12,N/A,18085,18113,0,0,0,0,0,1
158,10/26/2011,2,12,N/A,18113,18118,0,0,0,0,0,1
159,10/26/2011,2,12,N/A,18118,18127,0,0,0,0,0,1
160,10/26/2011,2,12,N/A,18127,18129,72.40000153,187000,0,0,18127,1
161,10/26/2011,2,12,N/A,18129,18146,0,0,0,0,0,1
162,10/26/2011,2,12,N/A,18146,18222,0,0,0,0,0,1
163,10/26/2011,2,12,N/A,18222,18243,0,0,0,0,0,1
164,10/26/2011,2,12,CEV,18243,18254,0,0,0,0,0,1
165,10/26/2011,2,12,N/A,18254,18276,0,0,0,0,0,1
